ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID,Russian_Translation,Part_of_Speech
1-1,dido1241,Esin šebi xecin šebi zownƛax sis ɣˤana-xediw.,esi-n\tšebi\txeci-n\tšebi\tzow-n-ƛax\tsis\tɣˤana-xediw,tell-PFV.CVB\twhat\tleave-PFV.CVB\twhat\tbe.NPRS-PST.UNW-QUOT\tone\tmarried.couple,"What is to be said, what is to be left out -- there was a couple.",stan1293,,1,"О чем рассказать и что оставить, жили были муж и жена.",v-vsuf	pron	v-vsuf	pron	v-vsuf-suf	num	n1pl
1-2,dido1241,"Xediw qˤač’aw, qizanyos t’alam bodixanusi žek’u zown.",xediw\tqˤač’aw\tqizan-s\tt’alam\tb-odi-xanusi\tžek’u\tzow-n,husband\trough\tfamily-GEN1\tcare\tIII-do-NEG.PRS.PRT\tman\tbe.NPRS-PST.UNW,The husband was a rough man who did not do the family's duty.,stan1293,,1,Муж был человеком грубым и не проявлял заботу о своей семье.,n1	adj	n3-nsuf	n3	pref-v-vsuf	n1	v-vsuf
1-3,dido1241,Axʷa xexbi risk’ač’inir yisä baru qacis muɣ bowa ciqaɣort’a yegirxo zown.,ax-a\txexbi\tr-isk’a-č’i-nir\tyisi-a\tbaru\tqaci-s\tmuɣ\tb-ow-a\tciq-aɣor-t’a\ty-egir-x\tzow-n,belly-IN.ESS\tchildren\tIII.PL-keep-NEG.FUT.CVB-PURP.CVB\tDEM2.ISG.OBL-ERG\twife\tfirewood-GEN1\tbundle\tIII-bring-INF\tforest-IN.VERS-DISTR\tII-send-IPFV.CVB\tbe.NPRS-PST.UNW,"He sent the wife to bring a bundle of firewood from the forest, so that she wouldn't keep the child in the belly.",stan1293,,1,"Однажды он отправил свою жену в лес за ношей дров, чтобы в утробе зародыш не сохранился.",n4-nsuf	n3pl	pref-v-vsuf-vsuf	pron-nsuf	n2	n4-nsuf	n3	pref-v-vsuf	n4-nsuf-suf	pref-v-vsuf	v-vsuf
1-4,dido1241,Sidaquł yiłar ciqqo Allahes ašuni bukayn.,sidaquł\tyiła-r\tciq-q\tAllah-s\tašuni\tb-ukad-n,one.day\tDEM2.IISG.OBL-LAT\tforest-POSS.ESS\tGod-GEN1\tbelt\tIII-see-PST.UNW,One day she saw a rainbow in the forest.,stan1293,,1,В лесу она увидела радугу.,adv	pron-nsuf	n4-nsuf	n1-nsuf	n3	pref-v-vsuf
1-5,dido1241,Yiła nełaq (ašunoq) harizi rodin där ukrus nak’ila yołäsi kid yodiroƛƛin.,yiła-a\tneła-q\tašuni-q\tharizi\tr-odi-n\tdi-r\tukru-s\tnak’ila\tyoł-asi\tkid\ty-odi-r-ƛ-ƛin,DEM2.IISG.OBL-ERG\tDEM1.IISG.OBL-POSS.ESS\tbelt-POSS.ESS\trequest\tIV-do-PST.UNW\tme-LAT\tsilver-GEN1\tlittle.finger\tbe-RES.PRT\tgirl\tII-do-CAUS-OPT-QUOT,"She begged it (the rainbow), if she could get a girl with a silver pinkie.",stan1293,,1,"Жена попросила её (радугу), чтобы ей родилась дочь с золотым мизинцем.",pron-nsuf	pron-nsuf	n3-nsuf	comp	pref-v-vsuf	pron-nsuf	n3-nsuf	n3	v-vsuf	n2	pref-v-vsuf-vsuf-suf
1-6,dido1241,Łarašawni ɣˤanazas maduhalłiqtow esiws kid zown.,łarašaw-ni\tɣˤanabi-s\tmaduhalłi-q-tow\tesiw-s\tkid\tzow-n,pregnant-DEF\twoman-GEN1\tneighbourhood-POSS.ESS-EMPH\tbrother-GEN1\tdaughter\tbe.NPRS-PST.UNW,In the pregnant woman's neighbourhood lived her brother's daughter.,stan1293,,1,В соседстве с беременной женщиной жила её же племянница.,adj-suf	n2-nsuf	n4-nsuf-suf	n1-nsuf	n2	v-vsuf
1-7,dido1241,Xedyos zulmun č’alʕizi boqno yedu esiwz kidbedäɣor yik’in.,xediw-s\tzulmu-n\tč’alʕizi\tb-oq-n\tyedu\tesiw-z\tkid-däɣor\ty-ik’i-n,husband-GEN1\ttyranny-TOP\tharass\tIII-become-PFV.CVB\tDEM2.IISG\tbrother-GEN2\tdaughter-APUD.VERS\tII-go-PST.UNW,"When she couldn't bear her husband's tyranny any longer, she went to her brother's daughter.",stan1293,,1,"Не вытерпев угнетения своего мужа, она пошла к своей племяннице.",n1-nsuf	n3-suf	comp	pref-v-vsuf	pron	n1-nsuf	n2-nsuf	pref-v-vsuf
1-8,dido1241,Sidaquł yiłar mesedyos nak’ila yołäsi kid yodin.,sidaquł\tyiła-r\tmesed-s\tnak’ila\tyoł-asi\tkid\ty-odi-n,one.day\tDEM2.IISG.OBL-LAT\tgold-GEN1\tlittle.finger\tbe-RES.PRT\tgirl\tII-do-PST.UNW,One day she gave birth to a girl that had a golden pinky.,stan1293,,1,Однажды (в один день) она родила дочь с золотым мизинцем.,adv	pron-nsuf	n3-nsuf	n3	v-vsuf	n2	pref-v-vsuf
1-9,dido1241,Yiła kid neširuxay raɣäɣor yoqa gurow yegirxo zownanu.,yiła-a\tkid\tneširu-xay\traɣi-aɣor\ty-oq-a\tgurow\ty-egir-x\tzow-n-anu,DEM2.IISG.OBL-ERG\tgirl\tevening-AD.ABL\tveranda-IN.VERS\tII-become-INF\texcept\tII-send-IPFV.CVB\tbe.NPRS-PFV.CVB-NEG,She didn't allow the girl to go anywere else than the veranda in the evening.,stan1293,,1,Своей дочери она по вечерам позволила выйти только на балкон.,pron-nsuf	n2	adv-nsuf	n3-nsuf	pref-v-vsuf	post	pref-v-vsuf	v-vsuf-vsuf
1-10,dido1241,"Neširuxay maħor ža yaqrun, sadaq šet’urtow gʷanɣizi roqxo zown.",neširu-xay\tmaħor\tža\ty-oq-run\tsadaq\tšet’ur-tow\tgʷanɣizi\tr-oq-x\tzow-n,evening-AD.ABL\toutside\tDEM1.SG\tII-become-IMM.ANT.CVB\tall\taround-EMPH\tilluminate\tIV-become-IPFV.CVB\tbe.NPRS-PST.UNW,"Right after she had gone outside in the evening, everything around was getting bright.",stan1293,,1,"Когда она вечером выходила на улицу, все вокруг озарялось.",adv-nsuf	adv	pron	pref-v-vsuf	adv	adv-suf	comp	pref-v-vsuf	v-vsuf
