id,to_Text_id,Line_Position,Tsez_Line,English_Translation,Russian_Translation
1,1,1,"Esin šebi xecin šebi zownƛax sis ɣˤana-xediw.","What is to be said, what is to be left out -- there was a couple.","О чем рассказать и что оставить, жили были муж и жена."
2,1,2,"Xediw qˤač’aw, qizanyos t’alam bodixanusi žek’u zown.","The husband was a rough man who did not do the family's duty.","Муж был человеком грубым и не проявлял заботу о своей семье."
3,1,3,"Axʷa xexbi risk’ač’inir yisä baru qacis muɣ bowa ciqaɣort’a yegirxo zown.","He sent the wife to bring a bundle of firewood from the forest, so that she wouldn't keep the child in the belly.","Однажды он отправил свою жену в лес за ношей дров, чтобы в утробе зародыш не сохранился."
4,1,4,"Sidaquł yiłar ciqqo Allahes ašuni bukayn.","One day she saw a rainbow in the forest.","В лесу она увидела радугу."
5,1,5,"Yiła nełaq (ašunoq) harizi rodin där ukrus nak’ila yołäsi kid yodiroƛƛin.","She begged it (the rainbow), if she could get a girl with a silver pinkie.","Жена попросила её (радугу), чтобы ей родилась дочь с золотым мизинцем."
6,1,6,"Łarašawni ɣˤanazas maduhalłiqtow esiws kid zown.","In the pregnant woman's neighbourhood lived her brother's daughter.","В соседстве с беременной женщиной жила её же племянница."
7,1,7,"Xedyos zulmun č’alʕizi boqno yedu esiwz kidbedäɣor yik’in.","When she couldn't bear her husband's tyranny any longer, she went to her brother's daughter.","Не вытерпев угнетения своего мужа, она пошла к своей племяннице."
8,1,8,"Sidaquł yiłar mesedyos nak’ila yołäsi kid yodin.","One day she gave birth to a girl that had a golden pinky.","Однажды (в один день) она родила дочь с золотым мизинцем."
9,1,9,"Yiła kid neširuxay raɣäɣor yoqa gurow yegirxo zownanu.","She didn't allow the girl to go anywere else than the veranda in the evening.","Своей дочери она по вечерам позволила выйти только на балкон."
10,1,10,"Neširuxay maħor ža yaqrun, sadaq šet’urtow gʷanɣizi roqxo zown.","Right after she had gone outside in the evening, everything around was getting bright.","Когда она вечером выходила на улицу, все вокруг озарялось."
11,1,11,"Kid yaq’ˤiłnosi, ʕuraw ʕoloqbi bayx zown žan esirno, amma eniw razi yoqxo zownanu ža sidxokin yegiranix.","When the girl was grown up, many boys were coming and asked for her hand, but the mother was not content about sending her to any of them.","Когда дочь стала взрослой, много молодых людей приходили просить ее руки, тем не менее мать не соглашалась выдать её за кого-либо."
12,1,12,"Sida maqˤizoni ʕaƛa bečedaw žek’us ɣudƛ’ay ɣudƛ’or ħalaq’ oqxo uži ik’ix zown.","In a village far away, a rich man's son was getting thinner day by day.","В одном далеком селе сын богатого человека день за днем сохнул."
13,1,13,"Eni-babiya dicegon esirłin nesä esix zownanu, šida ža ħalaq’ oqxo yałrułi.","No matter how often the parents asked him, he didn't tell them why he was becoming so meager.","Сколько бы родители не упрашивали его, он не рассказал им, о том, почему он так худел."
14,1,14,"Nesi žaz babiya sidaquł q’orol ɣˤanabin yiqirno nełaq esin, hemedur ɣudƛ’ay ɣudƛ’or dey uži ħalaq’ oqxo ik’ixƛin.","One day the boy's father found a widow and told her that his boy is becoming meager day by day.","И вот однажды его отец разыскал вдову и поведал ей о том, что его сын с каждым днем все худеет и худеет."
15,1,15,"Q’orol ɣˤanaza eƛin:","The widow said:","Вдова в ответ сказала:"
16,1,16,"“Mi där ukrus šit’u neƛnäy, di iyran ža šida ħalaq’ oqxo yałrułiƛin.”","""When you give me a plate full of silver, I will find out why he is becoming meager.""","«Если ты мне дашь полную золота тарелку, то я узнаю почему он все же с каждым днем худеет»."
17,1,17,"Bečedawni žek’u razi oqno.","The wealthy man agreed.","Богач согласился."
